Episode;StepsNeeded
51;843
52;1047
53;1136
54;879
55;905
56;1228
57;1202
58;638
59;993
60;962
61;1741
62;668
63;1106
64;2008
65;828
66;711
67;1438
68;646
69;870
70;1042
71;1011
72;681
73;1634
74;974
75;584
76;712
77;569
78;647
79;1389
80;1810
81;3276
82;599
83;391
84;1011
85;605
86;859
87;538
88;2176
89;892
90;1328
91;680
92;1346
93;400
94;563
95;453
96;676
97;466
98;894
99;1180
100;544
101;1893
102;583
103;951
104;491
105;958
106;363
107;761
108;1153
109;834
110;493
111;981
112;1190
113;596
114;790
115;1483
116;401
117;734
118;908
119;927
120;696
121;338
122;2329
123;954
124;1067
125;712
126;789
127;939
128;908
129;1577
130;660
131;340
132;474
133;1194
134;725
135;849
136;541
137;1781
138;997
139;929
140;742
141;458
142;832
143;880
144;675
145;1314
146;2024
147;2563
148;542
149;720
150;451
151;692
152;688
153;571
154;916
155;1500
156;627
157;1041
158;822
159;1212
160;1117
161;1663
162;1325
163;623
164;998
165;1122
166;1501
167;458
168;579
169;993
170;634
171;1444
172;726
173;729
174;3676
175;902
176;693
177;880
178;563
179;2510
180;672
181;419
182;739
183;3167
184;740
185;1069
186;700
187;837
188;586
189;959
190;1137
191;425
192;445
193;607
194;523
195;891
196;1004
197;994
198;542
199;1160
200;620
