Episode;StepsNeeded
1;1071
Episode;StepsNeeded
1;1334
Episode;StepsNeeded
1;443
Episode;StepsNeeded
1;475
2;1630
Episode;StepsNeeded
Episode;StepsNeeded
1;350
Episode;StepsNeeded
Episode;StepsNeeded
Episode;StepsNeeded
1;568
2;916
3;509
4;1049
5;512
6;4652
7;669
8;1221
9;1223
10;1721
11;3148
12;1034
13;1947
14;1901
15;896
16;1894
17;1519
18;1927
19;2745
20;1735
Episode;StepsNeeded
Episode;StepsNeeded
1;712
2;1571
3;1463
4;845
5;2894
6;3189
7;1652
8;1034
9;1191
10;842
11;3429
12;1839
13;1147
14;705
15;1226
16;1269
17;2192
18;2595
19;1858
20;2862
21;1710
22;1086
23;1726
24;918
25;1257
26;2830
27;1365
28;977
29;1489
30;1100
31;417
32;1176
33;362
34;1295
35;10852
36;1414
37;3791
38;1863
39;356
40;1303
41;1525
42;1280
43;1296
44;1428
45;1199
46;805
47;897
48;1837
49;1561
50;952
51;1960
52;3321
53;1283
54;1068
55;1741
56;1953
57;893
58;1968
59;3016
60;812
61;2988
62;1549
63;1330
64;1967
65;762
66;1797
67;500
68;1835
69;3591
70;796
71;1766
72;1655
73;2377
74;3922
75;1842
76;2438
77;2598
78;1902
79;2433
80;1860
81;1657
82;1333
83;2044
84;726
85;2789
86;1192
87;454
88;1728
89;1153
90;3791
91;813
92;1337
93;1826
94;1445
95;700
96;1869
97;1490
98;1070
99;1290
100;516
101;1234
102;2783
103;1129
104;1839
105;1755
106;669
107;1363
108;907
109;749
110;935
111;1703
112;838
113;2941
114;715
115;547
116;564
117;2573
118;2327
119;1553
120;2353
121;1267
122;832
123;411
124;1319
125;1327
126;2894
127;2202
128;1853
129;3079
130;1031
131;597
132;925
133;1343
134;898
135;3566
136;2596
137;300
138;2176
139;1187
140;551
141;2254
142;1230
143;1960
144;3169
145;961
146;1625
147;1093
148;1076
149;2397
150;1180
151;2147
152;1160
153;2770
154;2242
155;2468
156;893
157;893
158;932
159;1420
160;2042
161;1999
162;1475
163;3766
164;645
165;424
166;1099
167;857
168;1450
169;2623
170;855
171;468
172;3570
173;569
174;1384
175;1068
176;1875
177;973
178;269
179;1600
180;1513
181;638
182;3770
183;2303
184;1399
185;1116
186;2633
187;1136
188;1107
189;1267
190;1581
191;3672
192;1718
193;1206
194;1484
195;3514
196;2416
197;1270
198;1192
199;1368
200;892
201;1579
202;974
203;664
204;4195
205;2503
206;2443
207;3433
