Episode;StepsNeeded
1;6080
2;1198
3;2681
4;1507
5;1324
6;944
7;807
8;1037
9;590
10;2351
11;639
12;1531
13;3416
14;1189
15;1530
16;1990
17;2713
18;2647
19;1303
20;1112
21;1788
22;2620
23;2214
24;1757
25;1157
26;2678
27;2895
28;1247
29;3737
30;2207
31;1446
32;4372
33;2732
34;1472
35;2673
36;1008
37;846
38;2405
39;2573
40;3795
41;387
42;1767
43;1367
44;1840
45;1279
46;1950
47;1466
48;929
49;2765
50;610
51;1538
52;1697
53;1203
54;2571
55;2087
56;2224
57;1691
58;1417
59;1708
60;1680
61;1319
62;2686
63;2259
64;1613
65;1574
66;1770
67;1857
68;1976
69;848
70;822
71;634
72;903
73;1043
74;496
75;2587
76;2453
77;1844
78;749
79;2928
80;774
81;1894
82;835
83;1898
84;1721
85;579
86;1306
87;660
88;1477
89;802
90;1175
91;2322
92;750
93;1448
94;2212
95;4413
96;1209
97;2321
98;1317
99;677
100;1278
101;1800
102;999
103;1644
104;679
105;1403
106;1219
107;3251
108;1075
109;1336
110;855
111;2859
112;2273
113;3814
114;1184
115;1239
116;1366
117;1149
118;1781
119;2059
120;821
121;1649
122;759
123;2081
124;2314
125;303
126;1459
127;1076
128;2406
129;851
130;1966
131;1982
132;4779
133;1583
134;607
135;1389
136;1526
137;2390
138;1795
139;3076
140;1755
141;917
142;1319
143;1721
144;1111
145;2396
146;1865
147;2579
148;1502
149;3272
150;5596
151;1407
152;1881
153;2731
154;4619
155;982
156;2331
157;2349
158;3946
159;2361
160;864
161;1192
162;991
163;1611
164;929
165;1151
166;1248
167;1149
168;1793
169;2342
170;1745
171;1027
172;1145
173;1480
174;1143
175;1061
176;1685
177;1834
178;599
179;836
180;1780
181;2819
182;2257
183;513
184;1122
