Episode;StepsNeeded
1;422
2;400
3;539
4;322
5;278
6;517
7;472
8;534
9;544
10;355
11;596
12;367
13;357
14;427
15;490
16;670
17;467
18;444
19;404
20;556
21;328
22;436
23;366
24;542
25;255
26;419
27;1064
28;528
29;390
30;259
31;376
32;363
33;265
34;366
35;316
36;208
37;291
38;252
39;637
40;558
41;411
42;382
43;281
44;282
45;252
46;504
47;504
48;342
49;330
50;211
51;255
52;568
53;522
54;262
55;327
56;317
57;218
58;302
59;630
60;298
61;262
62;811
63;543
64;568
65;776
66;764
67;460
68;398
69;368
70;533
71;589
72;1212
73;251
74;372
75;248
76;230
77;687
78;758
79;594
80;846
81;332
82;458
83;224
84;265
85;179
86;512
87;246
88;681
89;262
90;389
91;803
92;738
93;248
94;743
95;861
96;632
97;340
98;550
99;278
100;410
101;416
102;208
103;327
104;373
105;446
106;383
107;490
108;822
109;328
110;248
111;366
112;481
113;363
114;517
115;352
116;337
117;377
118;371
119;295
120;205
121;327
122;664
123;499
124;259
125;410
126;474
127;336
128;354
129;500
130;281
131;473
132;429
133;404
134;282
135;292
136;529
137;182
138;241
139;345
140;384
141;580
142;430
143;343
144;569
145;998
146;700
147;277
148;577
149;477
150;216
151;341
152;274
153;269
154;229
155;378
156;576
157;421
158;352
159;175
160;1118
161;205
162;328
163;546
164;499
165;236
166;193
167;640
168;350
169;430
170;224
171;617
172;523
173;420
174;327
175;369
176;334
177;198
178;270
179;1091
180;201
181;597
182;353
183;535
184;461
185;237
186;240
187;561
188;464
189;532
190;251
191;406
192;336
193;358
194;959
195;328
196;429
197;493
198;421
199;490
200;514
201;1047
202;644
203;293
204;260
205;279
206;456
207;269
208;441
209;308
210;875
211;441
212;371
213;410
214;384
215;238
216;310
217;568
218;265
219;507
220;211
221;1150
222;265
223;271
224;1018
225;404
226;547
227;362
228;658
229;341
230;239
231;714
232;820
233;499
234;379
235;649
236;962
237;584
238;299
239;394
240;362
241;601
242;325
243;625
244;362
245;377
246;495
247;1004
248;477
249;1148
250;264
251;838
252;1152
253;741
254;447
255;849
256;217
257;699
258;565
259;770
260;4688
