Episode;StepsNeeded
102;696
1;568
103;628
2;452
104;435
105;307
3;450
106;974
107;244
4;350
5;492
6;388
7;417
8;498
9;486
10;378
11;892
12;389
13;586
14;408
15;491
16;480
17;554
18;828
19;468
20;548
21;746
22;698
23;463
24;662
25;320
26;1269
27;980
28;243
29;253
30;406
31;413
32;223
33;326
34;660
35;1040
36;673
37;429
38;876
39;306
40;818
41;489
42;544
43;381
44;267
45;796
46;341
47;273
48;542
49;598
50;1077
51;491
52;612
53;254
54;245
55;277
56;462
57;324
58;387
59;320
60;504
61;288
62;729
63;761
64;393
65;312
66;438
67;351
68;791
69;266
70;397
71;704
72;371
73;633
74;488
75;363
76;654
77;352
78;176
79;366
80;280
81;303
82;412
83;312
84;323
85;217
86;258
87;430
88;447
89;296
90;273
91;396
92;338
93;280
94;449
95;491
96;298
