Episode;StepsNeeded
1;1707
2;1201
3;1364
4;1202
5;1548
6;941
7;1117
8;820
9;1145
10;920
11;848
12;2417
13;1012
14;7182
15;1284
16;1311
17;966
18;926
19;1026
20;1017
21;953
22;854
23;846
24;1414
25;797
26;1078
27;833
28;1768
29;828
30;1681
31;885
32;1203
33;958
34;976
35;2470
36;904
37;928
38;1070
39;776
40;675
41;832
42;897
43;776
44;1061
45;902
46;1127
47;946
48;713
49;884
50;932
51;876
52;8017
53;902
54;1060
55;894
56;930
57;744
58;6399
59;1013
60;770
61;852
62;751
63;738
64;1066
65;766
66;1050
67;877
68;996
69;612
70;822
71;819
72;1614
73;940
74;806
75;1232
76;2347
77;782
78;907
79;1290
80;938
81;919
82;841
83;972
84;2361
85;890
86;795
87;1181
88;784
89;1037
90;920
91;1601
92;1050
93;666
94;870
95;698
96;864
97;2087
98;957
99;592
100;1003
101;891
102;704
103;1015
104;839
105;2733
106;1899
107;1108
108;793
109;1699
110;762
111;1108
112;800
113;941
114;890
115;843
116;4596
117;837
118;984
119;2519
120;798
121;1001
122;840
123;583
124;1308
125;1013
126;964
127;1254
128;859
129;1221
130;882
131;1117
132;860
133;1377
134;2952
135;1561
136;1215
137;803
138;1060
139;1664
140;5042
141;730
142;664
143;1050
144;2028
145;1051
146;761
147;2831
148;929
149;698
150;814
151;7168
152;1366
153;1037
154;1294
155;986
156;1445
157;752
158;1781
159;933
160;857
161;706
162;874
163;1619
164;792
165;918
166;1561
167;930
168;1256
169;2270
170;1476
171;916
172;880
173;947
174;828
175;984
176;925
177;891
178;955
179;788
180;1858
181;1686
182;743
183;784
184;968
185;883
186;898
187;2807
188;863
189;947
190;1143
191;916
192;731
193;1092
194;2383
195;3005
196;660
