Episode;StepsNeeded
1;498
2;845
3;1001
4;593
5;435
6;565
7;466
8;725
9;454
10;870
11;735
12;1407
13;422
14;469
15;681
16;3936
17;2390
18;602
19;1080
20;523
21;442
22;714
23;1208
24;2410
25;1862
26;412
27;1561
28;481
29;470
30;4186
31;556
32;436
33;4239
34;456
35;440
36;748
37;460
38;494
39;398
40;1763
41;690
42;4519
43;1008
44;2089
45;442
46;878
47;440
48;451
49;1982
50;2103
51;1179
52;448
53;824
54;822
55;472
56;1023
57;465
58;434
59;414
60;732
61;480
62;390
63;598
64;3267
65;558
66;795
67;586
68;2144
69;1201
70;1919
71;4624
72;426
73;2185
74;441
75;513
76;2167
77;1959
78;561
79;642
80;492
81;955
82;7611
83;946
84;442
85;683
86;1291
87;708
88;477
89;536
90;1097
91;825
